,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Industry,Current Price,Mcap Cr,PE,D/E,RoE %,ROIC %,EV/EBITDA,Sales,Sales growth 5Years %,OP,OPM,PAT,NPM %,Profit growth 5Years,Reserves,Debt,CWIP,Inventory,Trade receivables,Total Assets,CFO,FCF,FCF 3Y,FCF 5Y,Promoter holding,Pledged percentage,Div Yield,DII 3Y,FII 3Y,Return over 1year,Return over 3years,Return over 5years,Return over 7years,Return over 10years,DMA 50,DMA 200
Poly Medicure,Healthcare,2352.55,"23,837",70,0.07,16,12,44,"1,670",19,453,27%,339,20,29,"2,715",180,90,286,350,"3,192",240,-89,-146,-153,62,0,0.1,9,-4,31,52,52,39,26,"2,408","2,320"
Polycab India,Cables - Power,5984.5,"90,023",45,0.02,22,24,28,"22,408",20,"2,960",13%,"2,020",9,22,"9,675",202,708,"3,661","2,596","13,773","1,809",853,"2,260","3,313",63,0,0.5,2,5,-11,35,54,,,"5,693","5,957"
Privi Speci.,Chemicals,2347.5,"9,170",50,1.04,18,12,22,"2,101",10,454,22%,185,9,10,"1,064","1,143",127,788,394,"2,791",281,-17,104,-293,74,0,0.1,-2,0,118,27,44,33,26,"1,996","1,728"
Prudent Corp.,Finance & Investments,2681.2,"11,102",57,0.05,34,55,37,"1,104",36,262,24%,196,18,48,647,31,0,0,144,944,161,143,406,554,56,0,0.1,,,62,73,,,,"2,357","2,294"
Radico Khaitan,Breweries & Distilleries,2460.95,"32,933",95,0.28,14,12,50,"4,851",15,674,14%,345,7,7,"2,664",750,23,"1,077","1,182","4,576",362,189,-326,-1,40,0,0.1,8,-2,51,44,49,26,40,"2,422","2,217"
Raghav Product.,Refractories / Intermediates,715.45,"3,285",89,0.04,21,19,60,200,,54,27%,37,19,,148,7,2,35,51,231,39,25,23,6,63,0,0.1,0,0,101,83,91,60,,632,584
RPG LifeScience.,Pharmaceuticals - Indian - Bulk Drugs & Formln,2170.8,"3,590",30,0,26,22,20,653,12,160,24%,118,18,29,517,0,4,93,87,658,78,151,235,325,73,0,0.7,6,1,48,64,54,30,30,"2,166","2,126"
Shaily Engineer.,Plastics Products,1843.8,"8,473",91,0.34,19,15,48,787,,176,22%,93,12,,539,188,17,138,172,933,110,38,14,0,44,0,0.1,0,1,190,71,106,31,38,"1,672","1,376"
Shriram Finance,Finance & Investments,661.15," 1,24,322",15,4.15,16,11,11,"41,834",20,"30,024",72%,"8,309",20,27,"56,094"," 2,34,197",0,0,51," 2,93,722","-43,652","-43,903","-93,082","-106,239",25,0,1.4,1,0,38,43,43,13,15,642,603
SJS Enterprises,Plastics Products,1080.1,"3,384",29,0.05,19,17,17,760,,195,26%,118,16,,646,37,6,69,175,874,163,126,262,0,22,4,0.2,10,12,47,37,,,,990,959
Supriya Lifesci.,Pharmaceuticals - Indian - Bulk Drugs & Formln,737.85,"5,938",32,0.01,21,23,22,696,17,261,37%,188,27,21,981,5,148,118,134,"1,112",165,2,-74,-56,68,0,0.1,-3,0,101,28,,,,693,634
TD Power Systems,Electric Equipment,481.85,"7,526",43,0.01,22,21,29,"1,279",20,231,18%,175,14,56,829,12,17,377,437,"1,364",40,-16,96,75,33,0,0.2,13,17,46,76,95,47,22,429,396
Thangamayil Jew.,Diamond Cutting / Jewellery,1910,"5,937",50,0.72,15,8,29,"4,916",24,225,5%,119,2,21,"1,071",797,11,"1,979",9,"2,559",-424,-482,-210,-255,61,0,0.5,3,3,57,57,75,34,35,"1,944","1,854"
Tips Music,Entertainment / Electronic Media Software,665.85,"8,512",51,0.02,86,84,38,311,28,207,67%,167,54,71,197,3,1,0,27,339,120,119,429,501,64,0,1.1,3,7,60,63,134,81,69,651,657
Titan Company,Diamond Cutting / Jewellery,3566.8," 3,16,656",95,1.12,32,18,53,"60,456",23,"5,694",9%,"3,337",6,17,"11,535","12,967",93,"28,184","1,068","40,647",-541,"-1,011",963,"4,023",53,0,0.3,2,-1,5,19,32,22,25,"3,386","3,352"
TVS Motor Co.,Automobiles - Motorcycles / Mopeds,2799.7," 1,33,010",60,1.73,29,15,22,"44,089",19,"6,575",15%,"2,207",5,28,"8,456","14,676",664,"2,417","1,717","47,937","3,503","1,044","-7,043","-9,348",50,0,0.4,-9,10,24,57,53,24,28,"2,645","2,482"
V2 Retail,Textiles - Products,1907.95,"6,599",92,2.45,23,11,28,"1,885",22,258,14%,72,4,84,312,850,4,558,0,"1,628",93,56,185,204,54,0,0.0,5,-5,269,151,106,24,51,"1,768","1,472"
Varun Beverages,Food - Processing - Indian,486.55," 1,64,545",59,0.17,22,17,32,"21,257",23,"4,984",23%,"2,784",13,41,"15,934","2,826","1,167","2,791",846,"23,124","3,381",-359,"-1,122",-230,60,0,0.2,2,2,-17,50,54,41,,514,548
Vishal Mega Mart,Trading,126.3,"58,408",92,0.27,11,10,38,"10,716",15,"1,530",14%,632,6,73,"1,804","1,729",14,"1,850",66,"9,993","1,399","1,138","2,138","3,588",75,0,0.0,,,,,,,,116,111
Windlas Biotech,Pharmaceuticals - Indian - Formulations,930,"1,944",32,0.06,13,12,17,760,18,94,12%,61,8,30,495,33,3,81,167,760,68,16,79,79,62,0,0.6,1,-2,51,61,,,,965,906
